SECCIÓN 1: PARÁMETROS DE ENTRADA (editar estas celdas),,,,,
Métrica,Valor,Unidad,Notas,,
Matrículas activas,3000,matrículas/mes,Un alumno en 6 materias = 6 matrículas,,
Modalidad,Auto,Auto o Admin,Admin agrega +$300/mes,,
Plan,Mediana,Starter/Pequeña/Mediana/Grande/Enterprise,Elegir según cap,,
IA administrada,No,Sí o No,BYO = No (default recomendado),,
Storage extra necesario (GB),0,GB por encima del cap,,,
Code runner ilimitado,No,Sí o No,,,
Aislamiento dedicado,No,Sí o No,,,
SSO/SAML,No,Sí o No,,,
Certificación oficial,No,Sí o No,,,
Descuento pago anual,No,Sí o No,-10%,,
,,,,,
SECCIÓN 2: PRECIOS BASE (referencia — no editar),,,,,
Plan,Precio auto ($/mes),Precio admin ($/mes),Cap matrículas,Costo infra ExamLab estimado,Margen auto %
Starter,79,NO OFRECER,200,10,87%
Pequeña,149,449,1000,15,90%
Mediana,349,749,3000,30,91%
Grande,799,1499,10000,80,90%
Enterprise (desde),1499,custom,ilimitado,200,87%
,,,,,
SECCIÓN 3: ADD-ONS (referencia — no editar),,,,,
Add-on,Precio,Unidad,Costo real ExamLab,Margen %,Notas
IA administrada,0.10,por matrícula/mes,0.062,38%,Uso típico Gemini Flash
Storage extra,10,por 100 GB/mes,2.13,79%,Overage Supabase
Code runner ilimitado,49,por mes,5,90%,AWS Lambda
Aislamiento dedicado,99,por mes,75,24%,Supabase Pro extra + ops
SSO/SAML setup,99,una vez,50,50%,2h tech senior
SSO/SAML recurrente,29,por mes,0,100%,Feature nativo Supabase
Certificación oficial,29,por mes,0,100%,Ya implementado
,,,,,
SECCIÓN 4: COSTOS FIJOS ExamLab (todos los tenants juntos),,,,,
Componente,Costo mensual,Fuente,,,
Supabase Pro,25,supabase.com/pricing 2026-07,,,
Lovable Pro,25,lovable.dev/pricing 2026-07,,,
AWS Lambda,0,Free tier 1M req + 400k GB-s,,,
Email SMTP,0,Cliente pone su servidor,,,
Dominio,1,~$12/año amortizado,,,
TOTAL FIJO,51,,,,
,,,,,
SECCIÓN 5: ESCENARIOS PREDEFINIDOS (comparar rápido),,,,,
Escenario,Descripción,Matrículas,Plan,Modalidad,Precio final $/mes
E1: Colegio pequeño Auto,300 alumnos 15 profes 5 cursos,300,Pequeña,Auto,149
E2: Instituto Mediano Auto,3000 matrículas 6 carreras,3000,Mediana,Auto,349
E3: Universidad Mediana Admin,3000 matrículas con servicio,3000,Mediana,Admin,749
E4: Universidad Grande Auto,8500 matrículas,8500,Grande,Auto,799
E5: Universidad Grande + AI Admin,8500 matrículas IA admin,8500,Grande,Auto + IA admin ($850) - discount,1649
E6: Universidad Grande + Enterprise,12000 matrículas SSO + aislamiento,12000,Enterprise Custom,Auto + add-ons,1727
,,,,,
SECCIÓN 6: MEZCLA REALISTA (20 clientes),,,,,
Plan,Cantidad,Precio unitario,Revenue mensual,Costo mensual,Margen mensual
Starter Auto,5,79,395,50,345
Pequeña Auto,10,149,1490,150,1340
Mediana Auto,3,349,1047,90,957
Grande Auto,2,799,1598,160,1438
TOTAL Revenue,20,-,4530,450,4080
Margen %,-,-,-,-,90%
Anualizado,-,-,54360,5400,48960
,,,,,
SECCIÓN 7: CÁLCULO DE COSTO POR MATRÍCULA A DIFERENTES ESCALAS,,,,,
Matrículas TOTALES,Costo infra ExamLab,$/matrícula/mes,$/1000 matrículas/mes,Notas,
250,51,0.204,204,Hoy (6 tenants),
500,51,0.102,102,Aún dentro de free tiers,
1000,51,0.051,51,,
2500,53,0.021,21,Algo de edge functions,
5000,65,0.013,13,Empieza egress overage,
10000,90,0.009,9,+$25 egress + $10 Lambda,
15000,120,0.008,8,Storage cerca del 100 GB,
25000,180,0.007,7,Punto óptimo,
50000,700,0.014,14,Requiere Supabase Team ($599),
100000,900,0.009,9,Team + overage moderado,
,,,,,
SECCIÓN 8: BREAK-EVEN Y PAYBACK (piloto administrado),,,,,
Plan,CAC estimado (40h × $25/h),Revenue mensual admin,Costo humano por cliente,Margen neto mensual,Payback (meses)
Starter Admin,NO OFRECER,-,-,-,-
Pequeña Admin,1000,449,225,209,4.8
Mediana Admin,1000,749,225,494,2.0
Grande Admin,1500,1499,225,1194,1.3
,,,,,
SECCIÓN 9: SENSIBILIDAD A CAMBIOS DE PRECIO,,,,,
Variable,Base actual,+10%,+25%,+50%,Impacto
Supabase Pro,25,27.5,31.25,37.5,Aumenta costo fijo global
Lovable Pro,25,27.5,31.25,37.5,Aumenta costo fijo global
Egress Supabase,0.09/GB,0.099,0.113,0.135,Solo relevante a >5000 matrículas totales
Salario tech Colombia,1800,1980,2250,2700,Impacta directo costo Admin
Gemini output ($/1M tok),2.50,2.75,3.13,3.75,Solo relevante en IA administrada
,,,,,
SECCIÓN 10: OBJETIVOS ANUALES (target de venta),,,,,
Escenario,Clientes,Revenue mensual,Revenue anual,Costo anual,Margen neto anual
Conservador (Y1),10,~1800,21600,3600,18000
Realista (Y2),20,~4500,54000,5400,48600
Optimista (Y3),40,~10000,120000,12000,108000
Ambicioso (Y4),80,~22000,264000,25000,239000
